row_idx	col_idx	log2ratio
1	1	0
1	2	0.665145
1	3	0.375338
1	4	0.314785
1	5	0.0144252
1	6	0.00624675
1	7	0.424955
1	8	0.22788
1	9	0.00943795
1	10	0.00732181
1	11	0.307647
1	12	0.147972
1	13	0.246515
1	14	0.0972069
1	15	0.0263135
1	16	0.00910722
1	17	0.191517
1	18	0.148704
1	19	0.535962
1	20	0.553342
1	21	0.0147355
1	22	0
1	23	0.221029
1	24	0.177701
1	25	0.0435816
1	26	0.0249584
1	27	0.0149287
1	28	0.00352287
1	29	0.0772785
1	30	0.0472245
1	31	0.100869
1	32	0.0823316
1	33	0.358308
1	34	0.285223
1	35	0.039871
1	36	0.0143972
1	37	0.0299413
1	38	0.00789016
1	39	0.008623
1	40	0.0140334
1	41	0.110211
1	42	0.0245519
1	43	0.182779
1	44	0.189956
1	45	0.19653
1	46	0.240488
1	47	0.20857
1	48	0.20107
1	49	0.264842
1	50	0.253092
1	51	0.251207
1	52	0.19914
1	53	0.191324
1	54	0.176981
1	55	0.135452
1	56	0.129597
1	57	0.717257
1	58	0.639155
1	59	0.431999
1	60	0.283454
1	61	0.487189
1	62	0.236322
1	63	0.242445
1	64	0.180412
1	65	0.0899732
1	66	0.0675563
1	67	0.21793
1	68	0.160368
1	69	0.526797
1	70	0.49034
1	71	0.00131548
1	72	0
1	73	0.0839582
1	74	0.0645013
1	75	0.0368865
1	76	0.0545814
1	77	0.0314231
1	78	0.0241031
1	79	0.0607192
1	80	0.0624852
1	81	0.0930349
1	82	0.110273
1	83	0.0795319
1	84	0.0503285
1	85	0.106426
1	86	0.0628119
1	87	0.0244275
1	88	0.0133706
1	89	0.0793815
1	90	0.0851523
2	1	0.665145
2	2	0
2	3	0.272933
2	4	0.329164
2	5	0.0497337
2	6	0.0248381
2	7	0.224741
2	8	0.317656
2	9	0.0272119
2	10	0.0149527
2	11	0.183313
2	12	0.256472
2	13	0.120376
2	14	0.212009
2	15	0.0144856
2	16	0.0289506
2	17	0.250651
2	18	0.266393
2	19	0.476197
2	20	0.629095
2	21	0.020239
2	22	0.0172524
2	23	0.150156
2	24	0.168504
2	25	0.0573344
2	26	0.0449268
2	27	0.0712968
2	28	0.0268193
2	29	0.118123
2	30	0.0706261
2	31	0.0830245
2	32	0.0979948
2	33	0.349699
2	34	0.32883
2	35	0.0287213
2	36	0.0139138
2	37	0.0163089
2	38	0.00653147
2	39	0
2	40	0.0120564
2	41	0.0629118
2	42	0.0317709
2	43	0.124129
2	44	0.157101
2	45	0.158975
2	46	0.208633
2	47	0.184954
2	48	0.159251
2	49	0.233417
2	50	0.230948
2	51	0.195901
2	52	0.201104
2	53	0.173362
2	54	0.16635
2	55	0.108037
2	56	0.11949
2	57	0.656542
2	58	0.817978
2	59	0.322321
2	60	0.285341
2	61	0.308277
2	62	0.261229
2	63	0.193144
2	64	0.311769
2	65	0.0162131
2	66	0.0314198
2	67	0.115094
2	68	0.0990305
2	69	0.53166
2	70	0.513732
2	71	0.00561888
2	72	0.0218998
2	73	0.0806717
2	74	0.0796728
2	75	0.04935
2	76	0.0632865
2	77	0.039833
2	78	0.049868
2	79	0.0798913
2	80	0.0971266
2	81	0.149304
2	82	0.224381
2	83	0.079092
2	84	0.0764051
2	85	0.032892
2	86	0.0711459
2	87	0.0234444
2	88	0.0330735
2	89	0.0331615
2	90	0.0732332
3	1	0.375338
3	2	0.272933
3	3	0
3	4	0.688288
3	5	0.0848252
3	6	0.0311105
3	7	0.737189
3	8	0.423143
3	9	0.0901014
3	10	0.0414268
3	11	0.155416
3	12	0.0850962
3	13	0.300869
3	14	0.152431
3	15	0.0630564
3	16	0.0278444
3	17	0.0202446
3	18	0.0162528
3	19	0.485357
3	20	0.373683
3	21	0.0416965
3	22	0.0300644
3	23	0.675725
3	24	0.664497
3	25	0.188673
3	26	0.138656
3	27	0.03227
3	28	0.00534011
3	29	0.0437086
3	30	0.0200165
3	31	0.37255
3	32	0.37858
3	33	0.244713
3	34	0.250921
3	35	0.210723
3	36	0.123298
3	37	0.0805168
3	38	0.0297873
3	39	0.0374341
3	40	0.0169494
3	41	0.0655606
3	42	0.0155284
3	43	0.185686
3	44	0.161174
3	45	0.155348
3	46	0.156865
3	47	0.150736
3	48	0.160365
3	49	0.154795
3	50	0.183095
3	51	0.228701
3	52	0.163102
3	53	0.155493
3	54	0.156466
3	55	0.101052
3	56	0.0513424
3	57	0.240027
3	58	0.262549
3	59	0.187327
3	60	0.150357
3	61	0.207639
3	62	0.146344
3	63	0.0820354
3	64	0.0626014
3	65	0.30427
3	66	0.247981
3	67	0.308417
3	68	0.206155
3	69	0.275538
3	70	0.269936
3	71	0.131808
3	72	0.161098
3	73	0.132537
3	74	0.0738101
3	75	0.0667135
3	76	0.0623185
3	77	0.0771707
3	78	0.0677463
3	79	0.0290792
3	80	0.0528747
3	81	0.0549703
3	82	0.038178
3	83	0.0285914
3	84	0.0235512
3	85	0.188478
3	86	0.0754021
3	87	0.0640326
3	88	0.00596233
3	89	0.107048
3	90	0.0705123
4	1	0.314785
4	2	0.329164
4	3	0.688288
4	4	0
4	5	0.0512936
4	6	0.0403722
4	7	0.507797
4	8	0.659435
4	9	0.0302801
4	10	0.0413287
4	11	0.0952884
4	12	0.143202
4	13	0.115361
4	14	0.172947
4	15	0.0100914
4	16	0.0427349
4	17	0.00982473
4	18	0.00869736
4	19	0.350404
4	20	0.380057
4	21	0.0237335
4	22	0.046368
4	23	0.482897
4	24	0.629617
4	25	0.0885321
4	26	0.111199
4	27	0.0195745
4	28	0.0121692
4	29	0.0374974
4	30	0.0205269
4	31	0.281601
4	32	0.348476
4	33	0.190514
4	34	0.302868
4	35	0.134645
4	36	0.0941585
4	37	0.0512202
4	38	0.0227225
4	39	0.020895
4	40	0.0102168
4	41	0.053661
4	42	0.0110037
4	43	0.114832
4	44	0.120578
4	45	0.10513
4	46	0.132813
4	47	0.123112
4	48	0.12361
4	49	0.113946
4	50	0.138437
4	51	0.150944
4	52	0.136959
4	53	0.109611
4	54	0.125586
4	55	0.0662217
4	56	0.0544172
4	57	0.188045
4	58	0.267658
4	59	0.127347
4	60	0.151994
4	61	0.153065
4	62	0.22053
4	63	0.0621957
4	64	0.0990975
4	65	0.1331
4	66	0.303225
4	67	0.177149
4	68	0.213498
4	69	0.210265
4	70	0.21735
4	71	0.129315
4	72	0.136564
4	73	0.0922737
4	74	0.071767
4	75	0.0674575
4	76	0.0437683
4	77	0.0403956
4	78	0.052589
4	79	0.041975
4	80	0.0624899
4	81	0.0517791
4	82	0.0823022
4	83	0.0274778
4	84	0.045275
4	85	0.057175
4	86	0.130048
4	87	0.0344397
4	88	0.0218876
4	89	0.0556399
4	90	0.0631764
5	1	0.0144252
5	2	0.0497337
5	3	0.0848252
5	4	0.0512936
5	5	0
5	6	0.728552
5	7	0.058417
5	8	0.065043
5	9	0.669903
5	10	0.651974
5	11	0.0621764
5	12	0.00144114
5	13	0.0761032
5	14	0.0441995
5	15	0.569263
5	16	0.57023
5	17	0.0858991
5	18	0.0735425
5	19	0.0292409
5	20	0.0339071
5	21	0.38162
5	22	0.458699
5	23	0.0503717
5	24	0.0623391
5	25	0.655351
5	26	0.677477
5	27	0.676838
5	28	0.587216
5	29	0.092756
5	30	0.0875382
5	31	0.203775
5	32	0.189734
5	33	0.0133195
5	34	0.0135962
5	35	0.0591409
5	36	0.0817177
5	37	0.0137644
5	38	0.0168636
5	39	0.210349
5	40	0.186218
5	41	0.00996576
5	42	0.0145622
5	43	0.101779
5	44	0.113988
5	45	0.114837
5	46	0.149349
5	47	0.0614822
5	48	0.0594228
5	49	0.127916
5	50	0.162206
5	51	0.161179
5	52	0.184717
5	53	0.121443
5	54	0.228074
5	55	0.165991
5	56	0.142712
5	57	0.0609145
5	58	0.0571263
5	59	0.0797279
5	60	0.105632
5	61	0.0294292
5	62	0.0351734
5	63	0.0902473
5	64	0.0319545
5	65	0.0972764
5	66	0.0846354
5	67	0.0508097
5	68	0.055869
5	69	0.0321484
5	70	0.0644565
5	71	0.240251
5	72	0.214726
5	73	0.140609
5	74	0.0531436
5	75	0.106727
5	76	0.0262092
5	77	0.0727408
5	78	0.0643574
5	79	0.134083
5	80	0.17983
5	81	0.274185
5	82	0.146249
5	83	0.21116
5	84	0.224824
5	85	0.238573
5	86	0.256692
5	87	0.274004
5	88	0.216384
5	89	0.267525
5	90	0.253508
6	1	0.00624675
6	2	0.0248381
6	3	0.0311105
6	4	0.0403722
6	5	0.728552
6	6	0
6	7	0.00829353
6	8	0.0904162
6	9	0.521367
6	10	0.73286
6	11	0.0689415
6	12	0.0411901
6	13	0.0732
