row_idx	col_idx	log2ratio
1	1	0
1	2	0.624935
1	3	0.383242
1	4	0.303451
1	5	0.037089
1	6	0.0304113
1	7	0.401843
1	8	0.248534
1	9	0.0545506
1	10	0.0318884
1	11	0.383224
1	12	0.247685
1	13	0.271664
1	14	0.186758
1	15	0.0823036
1	16	0.0557228
1	17	0.232449
1	18	0.180783
1	19	0.602954
1	20	0.572985
1	21	0.0490699
1	22	0.0549317
1	23	0.193964
1	24	0.181716
1	25	0.0434152
1	26	0.0327625
1	27	0.0390395
1	28	0.03668
1	29	0.153628
1	30	0.0934012
1	31	0.0927303
1	32	0.0897052
1	33	0.353057
1	34	0.280031
1	35	0.0443216
1	36	0.0345852
1	37	0.0567498
1	38	0.0212848
1	39	0.0444328
1	40	0.0242615
1	41	0.106368
1	42	0.0913548
1	43	0.117289
1	44	0.10404
1	45	0.143663
1	46	0.137002
1	47	0.153202
1	48	0.114397
1	49	0.252227
1	50	0.172155
1	51	0.216889
1	52	0.13266
1	53	0.141172
1	54	0.0830259
1	55	0.122205
1	56	0.0857917
1	57	0.751216
1	58	0.510904
1	59	0.443503
1	60	0.273076
1	61	0.458808
1	62	0.215902
1	63	0.31927
1	64	0.202674
1	65	0.132001
1	66	0.0666693
1	67	0.198094
1	68	0.105082
1	69	0.518567
1	70	0.393007
1	71	0.0578095
1	72	0.0514992
1	73	0.170833
1	74	0.130994
1	75	0.0986355
1	76	0.094782
1	77	0.0871631
1	78	0.0564039
1	79	0.0876022
1	80	0.0687319
1	81	0.155633
1	82	0.116058
1	83	0.0973493
1	84	0.0848684
1	85	0.137822
1	86	0.0581381
1	87	0.0654234
1	88	0.0581727
1	89	0.0819978
1	90	0.04156
2	1	0.624935
2	2	0
2	3	0.202556
2	4	0.311533
2	5	0.00956684
2	6	0.0164565
2	7	0.161757
2	8	0.296515
2	9	0.00983523
2	10	0.0115083
2	11	0.201096
2	12	0.3261
2	13	0.134012
2	14	0.194048
2	15	0.0237288
2	16	0.0330315
2	17	0.210095
2	18	0.289886
2	19	0.500108
2	20	0.622573
2	21	0.0291324
2	22	0.038068
2	23	0.112967
2	24	0.13534
2	25	0.02854
2	26	0.0158323
2	27	0.0371087
2	28	0.0262303
2	29	0.114837
2	30	0.117922
2	31	0.0566204
2	32	0.0638425
2	33	0.344447
2	34	0.350203
2	35	0.0341177
2	36	0.0414678
2	37	0.0270302
2	38	0.0262398
2	39	0.0197069
2	40	0.0330473
2	41	0.0914316
2	42	0.0849993
2	43	0.0946919
2	44	0.129872
2	45	0.123383
2	46	0.162781
2	47	0.138833
2	48	0.149728
2	49	0.191419
2	50	0.215058
2	51	0.138372
2	52	0.171289
2	53	0.112469
2	54	0.111861
2	55	0.0931143
2	56	0.124403
2	57	0.615615
2	58	0.797337
2	59	0.279701
2	60	0.358758
2	61	0.23587
2	62	0.308786
2	63	0.220187
2	64	0.342296
2	65	0.0353726
2	66	0.0922007
2	67	0.16274
2	68	0.141326
2	69	0.528064
2	70	0.498858
2	71	0.037394
2	72	0.0469989
2	73	0.110044
2	74	0.11686
2	75	0.0730408
2	76	0.0884838
2	77	0.0621424
2	78	0.0658209
2	79	0.0764561
2	80	0.12912
2	81	0.12232
2	82	0.18628
2	83	0.0716603
2	84	0.0853601
2	85	0.0595536
2	86	0.0940128
2	87	0.0373184
2	88	0.0410524
2	89	0.0342221
2	90	0.0543544
3	1	0.383242
3	2	0.202556
3	3	0
3	4	0.685761
3	5	0.120945
3	6	0.071383
3	7	0.748765
3	8	0.440362
3	9	0.142305
3	10	0.0712677
3	11	0.205608
3	12	0.107122
3	13	0.305149
3	14	0.167032
3	15	0.131954
3	16	0.0698436
3	17	0.0662549
3	18	0.0244152
3	19	0.453482
3	20	0.306911
3	21	0.0775058
3	22	0.0727873
3	23	0.689389
3	24	0.64011
3	25	0.196683
3	26	0.167919
3	27	0.0723659
3	28	0.0662991
3	29	0.0786857
3	30	0.0432768
3	31	0.367138
3	32	0.344248
3	33	0.198093
3	34	0.175488
3	35	0.146067
3	36	0.0764975
3	37	0.0848165
3	38	0.039085
3	39	0.0579446
3	40	0.0291377
3	41	0.066168
3	42	0.0685785
3	43	0.0869715
3	44	0.0682132
3	45	0.118723
3	46	0.0864162
3	47	0.0601337
3	48	0.0364096
3	49	0.13509
3	50	0.104611
3	51	0.179038
3	52	0.0942273
3	53	0.0841828
3	54	0.0462185
3	55	0.0675537
3	56	0.0246836
3	57	0.250952
3	58	0.153244
3	59	0.223851
3	60	0.112986
3	61	0.210681
3	62	0.10588
3	63	0.112059
3	64	0.0490149
3	65	0.303896
3	66	0.154638
3	67	0.211338
3	68	0.107207
3	69	0.221359
3	70	0.147498
3	71	0.187823
3	72	0.18921
3	73	0.143656
3	74	0.098611
3	75	0.0862169
3	76	0.0801774
3	77	0.082943
3	78	0.0579516
3	79	0.0645848
3	80	0.0442178
3	81	0.100789
3	82	0.0499865
3	83	0.0723285
3	84	0.0459842
3	85	0.192389
3	86	0.0734151
3	87	0.106951
3	88	0.092593
3	89	0.109508
3	90	0.0388284
4	1	0.303451
4	2	0.311533
4	3	0.685761
4	4	0
4	5	0.0742584
4	6	0.0826033
4	7	0.55283
4	8	0.685978
4	9	0.0829199
4	10	0.0920003
4	11	0.123921
4	12	0.175356
4	13	0.176394
4	14	0.221048
4	15	0.0526422
4	16	0.0774184
4	17	0.0442715
4	18	0.0336028
4	19	0.425417
4	20	0.419378
4	21	0.0571554
4	22	0.0696609
4	23	0.524555
4	24	0.650944
4	25	0.0981546
4	26	0.118764
4	27	0.0438639
4	28	0.0501619
4	29	0.0537454
4	30	0.0408921
4	31	0.289125
4	32	0.333311
4	33	0.203757
4	34	0.256618
4	35	0.0853705
4	36	0.0889934
4	37	0.0581555
4	38	0.0423522
4	39	0.0369876
4	40	0.0276048
4	41	0.049504
4	42	0.0643665
4	43	0.0582585
4	44	0.0573911
4	45	0.0791993
4	46	0.0877794
4	47	0.0480656
4	48	0.0342116
4	49	0.0995964
4	50	0.0893834
4	51	0.123455
4	52	0.0936607
4	53	0.0718771
